bd_positive,CLUSTER_REV,huc10,n,field_or_museum
0,1,1806000603,2,Field
0,2,1803000906,2,Field
0,2,1803001206,9,Field
0,2,1804001403,2,Field
0,2,1806000205,22,Field
0,3,1805000301,50,Field
0,3,1805000401,6,Field
0,3,1805000406,36,Field
0,4,1802012601,1,Field
0,5,1802012208,51,Field
0,6,1801010201,2,Field
0,7,1710030901,1,Field
1,1,1806000603,16,Field
1,2,1806000205,4,Field
1,3,1805000301,27,Field
1,3,1805000401,3,Field
1,3,1805000406,52,Field
1,4,1802012601,3,Field
1,5,1802012208,67,Field
1,5,1802012504,3,Field
1,6,1801010201,7,Field
