huc12,bd_positive,n
171003090103,0,7
171003120303,0,2
180101010402,0,3
180101030202,0,1
180101030404,0,1
180101040102,0,1
180101040105,0,1
180101040105,1,1
180101040205,0,2
180101040206,0,5
180101040207,0,1
180101040208,0,2
180101040501,0,1
180101040502,0,1
180101080202,0,1
180101080404,0,1
180101080407,0,2
180101080409,0,1
180101080501,0,2
180101080503,0,5
180101080801,0,4
180101090102,0,9
180101100201,0,1
180101100403,0,1
180101100404,0,2
180101100701,1,1
180101100903,0,1
180102100204,0,1
180102111103,0,1
180102120301,0,6
180201160603,0,2
180201160603,1,1
180201210606,1,1
180201210803,1,2
180201230406,0,1
180201230702,0,1
180201230705,1,1
180201250402,0,1
180201250402,1,1
180201250604,1,1
180201250702,0,2
180201250702,1,6
180201280403,1,1
180201280601,0,1
180201290205,0,1
180201290304,0,6
180201290603,0,4
180201290701,0,1
180201540101,0,1
180201620102,0,2
180201620201,0,1
180201620301,0,2
180201620401,0,1
180201620402,0,1
180201620503,0,1
180300010604,0,1
180300020502,0,8
180300060102,0,1
180300060103,0,1
180300070503,0,2
180300100805,0,1
180300120604,0,2
180400020301,0,2
180400020301,1,8
180400030701,0,1
180400061202,0,6
180400080203,0,2
180400080306,0,6
180400080401,0,10
180400080501,0,2
180400080502,0,16
180400080503,0,4
180400080602,0,1
180400080604,0,2
180400090601,0,1
180400090601,1,1
180400091003,0,1
180400100603,0,1
180400130203,0,1
180400140302,0,1
180400140303,0,1
180500020202,0,2
180500020203,0,1
180500030102,0,1
180500030102,1,1
180500030103,0,3
180500030104,0,2
180500030105,0,5
180500030203,0,2
180500030403,0,2
180500030407,0,1
180500040101,0,1
180500040102,0,2
180500040102,1,1
180500040301,0,3
180500040301,1,1
180500040402,0,9
180500040403,0,2
180500040403,1,1
180500040803,0,1
180500040901,0,3
180500050101,0,1
180500050103,0,5
180500050504,0,8
180500050506,0,1
180500060202,0,1
180500060204,0,1
180600020302,0,1
180600020401,0,2
180600020501,0,12
180600020502,0,1
180600020502,1,1
180600020503,1,1
180600020505,0,2
180600020703,0,3
180600050202,0,1
180600050903,0,1
180600051202,0,13
180600051203,0,1
180600051307,0,1
180600051310,0,2
180600060203,0,1
180600060301,0,6
180600060306,1,1
180600060405,0,2
180600060407,0,1
180600060412,0,1
180600060601,0,31
180600060701,0,5
180600100102,0,1
180600100202,0,1
180600100303,0,8
180600100402,0,1
180600150201,1,1
180600150202,0,2
180701010102,0,1
180701020304,0,1
180701020306,0,1
180701020502,0,1
180701020602,0,7
180701020603,0,5
180701020702,0,3
180701020703,0,6
180701020706,0,11
180701020706,1,1
180701020801,0,10
180701020801,1,1
180701020901,0,1
180701060203,0,2
180701060204,0,1
180701060205,0,6
180701060205,1,3
180701060302,0,2
180701060303,0,29
180701060303,1,1
180701060601,0,4
180701060606,0,1
180701060703,0,4
