field_or_museum,huc8,bd_positive,n
Field,17100309,0,9
Field,17100309,1,1
Field,17100311,0,20
Field,18010101,0,18
Field,18010101,1,1
Field,18010102,0,12
Field,18010102,1,35
Field,18010106,0,266
Field,18010106,1,143
Field,18010211,0,2
Field,18020003,0,11
Field,18020003,1,6
Field,18020121,0,56
Field,18020121,1,11
Field,18020122,0,137
Field,18020122,1,104
Field,18020123,0,1
Field,18020123,1,1
Field,18020125,0,5
Field,18020125,1,3
Field,18020126,0,6
Field,18020126,1,11
Field,18020154,0,7
Field,18020154,1,3
Field,18020155,0,6
Field,18020162,0,23
Field,18020162,1,6
Field,18030009,0,111
Field,18030009,1,8
Field,18030012,0,11
Field,18040009,0,1
Field,18040012,0,11
Field,18040012,1,2
Field,18040014,0,5
Field,18040014,1,3
Field,18050003,0,117
Field,18050003,1,127
Field,18050004,0,126
Field,18050004,1,101
Field,18050005,1,2
Field,18060002,0,98
Field,18060002,1,27
Field,18060005,0,7
Field,18060005,1,1
Field,18060006,0,6
Field,18060006,1,16
Museum,17100309,0,7
Museum,17100312,0,2
Museum,18010101,0,3
Museum,18010103,0,2
Museum,18010104,0,14
Museum,18010104,1,1
Museum,18010108,0,16
Museum,18010109,0,9
Museum,18010110,0,5
Museum,18010110,1,1
Museum,18010210,0,1
Museum,18010211,0,1
Museum,18010212,0,6
Museum,18020116,0,2
Museum,18020116,1,1
Museum,18020121,1,3
Museum,18020123,0,2
Museum,18020123,1,1
Museum,18020125,0,3
Museum,18020125,1,8
Museum,18020128,0,1
Museum,18020128,1,1
Museum,18020129,0,12
Museum,18020154,0,1
Museum,18020162,0,8
Museum,18030001,0,1
Museum,18030002,0,8
Museum,18030006,0,2
Museum,18030007,0,2
Museum,18030010,0,1
Museum,18030012,0,2
Museum,18040002,0,2
Museum,18040002,1,8
Museum,18040003,0,1
Museum,18040006,0,6
Museum,18040008,0,43
Museum,18040009,0,2
Museum,18040009,1,1
Museum,18040010,0,1
Museum,18040013,0,1
Museum,18040014,0,2
Museum,18050002,0,3
Museum,18050003,0,16
Museum,18050003,1,1
Museum,18050004,0,21
Museum,18050004,1,3
Museum,18050005,0,15
Museum,18050006,0,2
Museum,18060002,0,21
Museum,18060002,1,2
Museum,18060005,0,19
Museum,18060006,0,47
Museum,18060006,1,1
Museum,18060010,0,11
Museum,18060015,0,2
Museum,18060015,1,1
Museum,18070101,0,1
Museum,18070102,0,46
Museum,18070102,1,2
Museum,18070106,0,49
Museum,18070106,1,4
