id,date_captured,recap_y_n,recap_id,bd_positive,bd_its_copies,n,lag_pos
805,2018-06-20,Y,900043000132968,1,625979.11,3,NA
806,2018-07-18,Y,900043000132968,1,38923.3673,3,0
904,2019-07-17,Y,900043000132968,1,1525.05421,3,0
809,2018-06-18,Y,900043000132975,0,0,2,NA
810,2018-07-16,Y,900043000132975,1,771.286843,2,1
815,2018-07-19,Y,900043000132981,1,255.717426,2,NA
917,2019-07-18,Y,900043000132981,0,0,2,-1
819,2018-07-18,Y,900043000132989,0,0,3,NA
901,2019-07-17,Y,900043000132989,0,0,3,0
1010,2019-08-22,Y,900043000132989,0,0,3,0
821,2018-07-17,Y,900043000132990,0,0,2,NA
937,2019-07-19,Y,900043000132990,0,0,2,0
825,2018-06-22,Y,900067000061823,0,0,4,NA
827,2018-07-17,Y,900067000061823,0,0,4,0
861,2019-07-15,Y,900067000061823,0,0,4,0
988,2019-08-20,Y,900067000061823,0,0,4,0
828,2018-06-22,Y,900067000061829,1,567.839251,2,NA
829,2018-07-17,Y,900067000061829,1,23.6521256,2,0
835,2018-06-20,Y,900067000061854,1,32885.594,2,NA
836,2018-07-17,Y,900067000061854,1,403.924375,2,0
837,2018-06-20,Y,900067000061857,0,0,2,NA
991,2019-08-20,Y,900067000061857,0,0,2,0
840,2018-06-21,Y,900067000061864,0,0,3,NA
1004,2019-08-21,Y,900067000061864,0,0,3,0
1179,2020-06-22,Y,900067000061864,0,0,3,0
841,2018-06-21,Y,900067000061868,1,606.792614,2,NA
971,2019-08-20,Y,900067000061868,0,0,2,-1
845,2018-06-20,Y,900067000061887,1,1017.01902,2,NA
847,2018-07-16,Y,900067000061887,0,0,2,-1
849,2018-06-22,Y,900067000061888,0,0,2,NA
850,2018-07-19,Y,900067000061888,1,11642.6614,2,1
851,2018-06-22,Y,900067000061892,1,3167.5263,5,NA
877,2019-07-16,Y,900067000061892,1,412.61079,5,0
1025,2019-08-22,Y,900067000061892,0,0,5,-1
1206,2020-06-25,Y,900067000061892,1,411.958307,5,1
1257,2020-08-04,Y,900067000061892,1,3894.97044,5,0
924,2019-07-18,Y,900067000061897,1,218.502718,2,NA
925,2019-07-18,Y,900067000061897,1,218.502718,2,0
866,2019-07-15,Y,900067000073605,0,0,2,NA
1170,2020-06-22,Y,900067000073605,0,0,2,0
981,2019-08-20,Y,900067000073612,1,1598.02515,2,NA
1190,2020-06-23,Y,900067000073612,1,138.49446,2,0
969,2019-08-19,Y,900067000073621,0,0,2,NA
1194,2020-06-24,Y,900067000073621,0,0,2,0
940,2019-07-19,Y,900067000073625,0,0,2,NA
979,2019-08-20,Y,900067000073625,0,0,2,0
926,2019-07-18,Y,900067000073632,0,0,2,NA
961,2019-08-19,Y,900067000073632,1,1521.77945,2,1
1034,2019-08-23,Y,900067000073639,0,0,2,NA
1188,2020-06-23,Y,900067000073639,0,0,2,0
902,2019-07-17,Y,900067000073647,1,4142.38943,2,NA
1021,2019-08-22,Y,900067000073647,1,17.3023469,2,0
906,2019-07-17,Y,900067000073656,0,0,3,NA
905,2019-07-17,Y,900067000073656,0,0,3,0
1193,2020-06-24,Y,900067000073656,0,0,3,0
867,2019-07-15,Y,900067000073657,0,0,2,NA
957,2019-08-19,Y,900067000073657,0,0,2,0
948,2019-07-19,Y,900067000073679,0,0,2,NA
955,2019-08-19,Y,900067000073679,0,0,2,0
878,2019-07-16,Y,900067000073695,0,0,2,NA
996,2019-08-21,Y,900067000073695,0,0,2,0
1019,2019-08-22,Y,900067000073696,1,249.133275,3,NA
1205,2020-06-24,Y,900067000073696,0,0,3,-1
1248,2020-08-04,Y,900067000073696,0,0,3,0
1182,2020-06-23,Y,900067000120684,1,1660.13317,2,NA
1273,2020-08-06,Y,900067000120684,1,21.6307971,2,0
1220,2020-06-25,Y,900067000120689,0,0,2,NA
1227,2020-06-26,Y,900067000120689,0,0,2,0
1221,2020-06-25,Y,900067000120753,0,0,2,NA
1287,2020-08-07,Y,900067000120753,0,0,2,0
1191,2020-06-23,Y,900067000120767,0,0,2,NA
1255,2020-08-04,Y,900067000120767,1,52516.8901,2,1
1216,2020-06-25,Y,900067000120770,0,0,2,NA
1264,2020-08-05,Y,900067000120770,0,0,2,0
1192,2020-06-23,Y,900067000120777,0,0,2,NA
1234,2020-08-03,Y,900067000120777,0,0,2,0
4346,2019-05-11,N,982000407492208,1,233,2,NA
6539,2020-05-01,Y,982000407492208,0,0,2,-1
6361,2019-06-12,N,982000407492229,0,0,2,NA
7491,2020-09-03,Y,982000407492229,1,4602,2,1
5699,2019-05-28,N,982000407492231,0,0,3,NA
6584,2020-06-02,Y,982000407492231,0,0,3,0
7279,2020-07-28,Y,982000407492231,0,0,3,0
6360,2019-06-12,Y,982000407492233,0,0,2,NA
6348,2019-09-25,Y,982000407492233,0,0,2,0
6530,2020-04-28,N,982000407492254,1,468,2,NA
7544,2020-08-27,Y,982000407492254,0,0,2,-1
4343,2019-05-11,N,982000407492276,0,0,2,NA
7549,2020-08-27,Y,982000407492276,1,686,2,1
4175,2018-07-26,N,982000407492286,0,0,2,NA
4193,2018-08-15,Y,982000407492286,0,0,2,0
6095,2019-10-03,N,982000407492298,0,0,2,NA
6534,2020-05-12,Y,982000407492298,1,774,2,1
6364,2019-06-12,N,982000407492299,0,0,2,NA
6391,2019-09-25,Y,982000407492299,0,0,2,0
6509,2020-04-27,Y,982000407492328,0,0,3,NA
6582,2020-06-02,Y,982000407492328,0,0,3,0
5708,NA,NA,982000407492328,NA,NA,3,NA
4225,2018-06-18,N,982000407492349,1,28892,2,NA
7619,2020-08-28,Y,982000407492349,0,0,2,-1
4216,2018-05-31,N,982000407492360,1,8714,2,NA
7535,2020-08-25,Y,982000407492360,0,0,2,-1
3490,2018-04-19,N,982000407492368,0,0,4,NA
4340,2019-05-11,Y,982000407492368,0,0,4,0
6492,2020-04-19,Y,982000407492368,0,0,4,0
6517,2020-04-26,Y,982000407492368,1,146,4,1
3005,2017-05-05,NA,982000409784070,1,2121,2,NA
4348,2019-05-11,Y,982000409784070,1,87,2,0
1102,2016-09-29,NA,982000409784104,0,0,2,NA
7615,2020-08-28,Y,982000409784104,0,0,2,0
3504,2018-05-01,N,982000409784124,1,240,3,NA
4347,2019-05-11,Y,982000409784124,1,259,3,0
7723,2020-06-12,Y,982000409784124,0,0,3,-1
2787,2017-05-04,NA,982000409784150,0,0,3,NA
4342,2019-05-11,Y,982000409784150,0,0,3,0
7618,2020-08-28,Y,982000409784150,0,0,3,0
2800,2017-05-25,NA,982000409784163,0,0,2,NA
7307,2020-09-08,Y,982000409784163,0,0,2,0
2799,2017-05-25,NA,982000409784164,0,0,2,NA
6538,2020-05-01,Y,982000409784164,0,0,2,0
7610,2020-08-28,N,982000409796698,0,0,2,NA
7305,2020-09-08,Y,982000409796698,0,0,2,0
6668,2020-06-02,N,982000409796745,0,0,2,NA
7308,2020-09-08,N,982000409796745,0,0,2,0
7614,2020-08-28,N,982000409796748,0,0,2,NA
7309,2020-09-08,Y,982000409796748,0,0,2,0
6662,2020-05-28,N,982000409796750,0,NA,2,NA
7632,2020-07-30,Y,982000409796750,0,0,2,0
7026,2020-07-28,Y,982091062746048,1,1132,2,NA
7646,2020-08-03,Y,982091062746048,0,0,2,-1
