id,date_captured,recap_y_n,recap_id,bd_positive,bd_its_copies,n,lag_pos
1459,2016-08-11,NA,48265082,1,1909,3,NA
4207,2018-05-15,Y,48265082,0,0,3,-1
7486,2020-09-03,Y,48265082,0,0,3,0
1457,2016-08-11,NA,48267578,0,0,2,NA
6694,2020-06-02,Y,48267578,1,1804,2,1
1452,2016-08-11,NA,48271065,0,0,3,NA
7537,2020-08-25,Y,48271065,0,0,3,0
7488,2020-09-03,Y,48271065,0,0,3,0
3823,2018-05-18,NA,777,0,0,15,NA
4220,2018-06-18,NA,777,0,0,15,0
4336,2018-08-17,NA,777,0,0,15,0
4337,2018-08-17,NA,777,0,0,15,0
4338,2018-08-17,NA,777,0,0,15,0
4339,2018-08-17,NA,777,0,0,15,0
4330,2018-08-20,NA,777,0,0,15,0
4331,2018-08-20,NA,777,0,0,15,0
4332,2018-08-20,NA,777,0,0,15,0
4333,2018-08-20,NA,777,0,0,15,0
4334,2018-08-20,NA,777,0,0,15,0
3612,2018-08-28,N,777,0,0,15,0
3613,2018-08-28,N,777,0,0,15,0
4277,2018-10-14,NA,777,1,295,15,1
4268,2018-10-14,NA,777,0,0,15,-1
1451,2016-08-11,NA,839297799,0,0,4,NA
4341,2019-05-11,Y,839297799,0,0,4,0
7533,2020-08-25,Y,839297799,0,0,4,0
7489,2020-09-03,Y,839297799,0,0,4,0
3818,2018-05-18,NA,888,0,0,3,NA
3819,2018-05-18,NA,888,0,0,3,0
6487,2020-04-19,N,888,0,0,3,0
686,2018-06-20,Y,900043000100844,1,3827.92829,2,NA
688,2018-07-20,Y,900043000100844,1,393.451345,2,0
700,2018-07-19,Y,900043000100946,1,657.641285,2,NA
1237,2020-08-03,Y,900043000100946,1,5137.95024,2,0
710,2018-06-19,Y,900043000101075,1,235.506337,3,NA
712,2018-07-18,Y,900043000101075,0,0,3,-1
951,2019-07-19,Y,900043000101075,0,0,3,0
714,2018-07-17,Y,900043000101095,0,0,2,NA
978,2019-08-20,Y,900043000101095,1,750.479745,2,1
716,2018-07-16,Y,900043000132799,0,0,5,NA
965,2019-08-19,Y,900043000132799,0,0,5,0
980,2019-08-20,Y,900043000132799,0,0,5,0
1209,2020-06-25,Y,900043000132799,0,0,5,0
1260,2020-08-05,Y,900043000132799,1,972.495323,5,1
720,2018-07-20,Y,900043000132806,0,0,2,NA
863,2019-07-15,Y,900043000132806,0,0,2,0
721,2018-07-18,Y,900043000132809,0,0,4,NA
868,2019-07-15,Y,900043000132809,0,0,4,0
1197,2020-06-24,Y,900043000132809,1,337.156657,4,1
1246,2020-08-04,Y,900043000132809,1,1058.56065,4,0
722,2018-07-18,Y,900043000132810,1,54.8346858,2,NA
974,2019-08-20,Y,900043000132810,0,0,2,-1
723,2018-07-18,Y,900043000132811,0,0,2,NA
894,2019-07-17,Y,900043000132811,0,0,2,0
725,2018-07-18,Y,900043000132813,1,11069.1132,2,NA
910,2019-07-17,Y,900043000132813,0,0,2,-1
727,2018-07-17,Y,900043000132820,0,0,4,NA
903,2019-07-17,Y,900043000132820,0,0,4,0
963,2019-08-19,Y,900043000132820,0,0,4,0
1173,2020-06-22,Y,900043000132820,0,0,4,0
744,2018-07-16,Y,900043000132849,0,0,2,NA
871,2019-07-15,Y,900043000132849,0,0,2,0
749,2018-06-22,Y,900043000132858,1,12869.9567,2,NA
750,2018-07-17,Y,900043000132858,0,0,2,-1
751,2018-07-17,Y,900043000132862,1,191.805195,3,NA
1036,2019-08-23,Y,900043000132862,0,0,3,-1
1172,2020-06-22,Y,900043000132862,0,0,3,0
755,2018-07-18,Y,900043000132867,0,0,2,NA
1242,2020-08-03,Y,900043000132867,0,0,2,0
762,2018-07-16,Y,900043000132886,0,0,2,NA
973,2019-08-20,Y,900043000132886,0,0,2,0
770,2018-06-22,Y,900043000132900,1,573.267548,2,NA
771,2018-07-18,Y,900043000132900,1,191.958369,2,0
780,2018-07-20,Y,900043000132926,1,316.89594,2,NA
1009,2019-08-21,Y,900043000132926,0,0,2,-1
782,2018-07-18,Y,900043000132932,0,0,2,NA
1024,2019-08-22,Y,900043000132932,0,0,2,0
784,2018-07-18,Y,900043000132934,0,0,3,NA
914,2019-07-18,Y,900043000132934,1,343.936604,3,1
1006,2019-08-21,Y,900043000132934,1,19154.3036,3,0
786,2018-07-19,Y,900043000132939,0,0,2,NA
1251,2020-08-04,Y,900043000132939,0,0,2,0
787,2018-07-19,Y,900043000132941,1,1788.89415,2,NA
923,2019-07-18,Y,900043000132941,1,4439.52421,2,0
789,2018-07-17,Y,900043000132943,0,0,2,NA
883,2019-07-16,Y,900043000132943,0,0,2,0
796,2018-07-18,Y,900043000132949,0,0,3,NA
1038,2019-08-23,Y,900043000132949,0,0,3,0
1196,2020-06-24,Y,900043000132949,0,0,3,0
797,2018-07-19,Y,900043000132950,1,77.5593439,2,NA
889,2019-07-16,Y,900043000132950,0,0,2,-1
799,2018-06-22,Y,900043000132955,0,0,2,NA
800,2018-07-18,Y,900043000132955,0,0,2,0
802,2018-07-18,Y,900043000132958,0,0,2,NA
892,2019-07-17,Y,900043000132958,0,0,2,0
