CLUSTER_REV,bd_positive,min_yr,max_yr,field_or_museum
0,0,1897,2005,Museum
0,1,1950,2002,Museum
1,0,1961,1969,Museum
1,1,1970,1970,Museum
2,0,1966,1998,Museum
2,1,1986,1994,Museum
3,0,1952,1998,Museum
3,1,1973,2005,Museum
